Time,Bus Voltage,Shunt Voltage,Load Voltage,Current,Power
2024-07-19 22:57:13,0.96,153.35,1.12,1535.10,1474.00
2024-07-19 22:57:13,0.96,153.35,1.11,1534.70,1474.00
2024-07-19 22:57:13,0.96,153.48,1.11,1535.00,1474.00
2024-07-19 22:57:13,0.96,153.36,1.11,1535.60,1482.00
2024-07-19 22:57:13,0.96,153.39,1.11,1534.60,1474.00
2024-07-19 22:57:13,0.96,153.37,1.12,1536.50,1474.00
2024-07-19 22:57:14,0.96,153.57,1.11,1536.10,1474.00
2024-07-19 22:57:14,0.96,153.34,1.11,1533.00,1474.00
2024-07-19 22:57:14,0.96,153.36,1.11,1534.60,1478.00
2024-07-19 22:57:14,0.96,153.37,1.11,1535.70,1474.00
2024-07-19 22:57:14,0.96,153.55,1.12,1534.50,1478.00
2024-07-19 22:57:14,0.96,153.34,1.11,1536.10,1482.00
2024-07-19 22:57:14,0.96,153.33,1.11,1535.30,1474.00
2024-07-19 22:57:14,0.96,153.61,1.11,1534.90,1478.00
2024-07-19 22:57:14,0.96,153.35,1.11,1535.30,1474.00
2024-07-19 22:57:14,0.96,153.37,1.11,1534.70,1474.00
2024-07-19 22:57:14,0.96,153.35,1.12,1537.50,1474.00
2024-07-19 22:57:14,0.96,153.59,1.11,1536.00,1474.00
2024-07-19 22:57:14,0.96,153.32,1.12,1536.40,1472.00
2024-07-19 22:57:14,0.96,153.33,1.11,1534.80,1468.00
2024-07-19 22:57:14,0.96,153.35,1.11,1536.60,1474.00
2024-07-19 22:57:15,0.96,153.58,1.11,1536.00,1474.00
2024-07-19 22:57:15,0.96,153.33,1.12,1537.10,1472.00
2024-07-19 22:57:15,0.96,153.35,1.11,1535.00,1468.00
2024-07-19 22:57:15,0.96,153.34,1.12,1535.10,1482.00
2024-07-19 22:57:15,0.96,153.35,1.11,1536.10,1482.00
2024-07-19 22:57:15,0.96,153.35,1.12,1534.70,1478.00
2024-07-19 22:57:15,0.96,153.37,1.11,1536.70,1474.00
2024-07-19 22:57:15,0.96,153.59,1.11,1536.80,1474.00
2024-07-19 22:57:15,0.96,153.36,1.11,1537.10,1482.00
2024-07-19 22:57:15,0.96,153.40,1.11,1535.10,1474.00
2024-07-19 22:57:15,0.96,153.36,1.11,1535.90,1474.00
2024-07-19 22:57:15,0.96,153.35,1.12,1534.90,1474.00
2024-07-19 22:57:15,0.96,153.58,1.12,1533.20,1474.00
2024-07-19 22:57:15,0.96,153.37,1.11,1535.40,1478.00
2024-07-19 22:57:15,0.96,153.35,1.11,1533.90,1472.00
2024-07-19 22:57:16,0.96,153.34,1.12,1535.60,1482.00
2024-07-19 22:57:16,0.96,153.55,1.11,1535.60,1474.00
2024-07-19 22:57:16,0.96,153.55,1.11,1534.80,1474.00
2024-07-19 22:57:16,0.96,153.35,1.12,1535.90,1474.00
2024-07-19 22:57:16,0.96,153.34,1.12,1534.40,1478.00
2024-07-19 22:57:16,0.96,153.37,1.12,1536.30,1468.00
2024-07-19 22:57:16,0.96,153.40,1.11,1536.10,1474.00
2024-07-19 22:57:16,0.96,153.33,1.12,1536.00,1474.00
2024-07-19 22:57:16,0.96,153.35,1.11,1534.80,1474.00
2024-07-19 22:57:16,0.96,153.35,1.12,1537.10,1474.00
2024-07-19 22:57:16,0.96,153.59,1.11,1535.40,1474.00
2024-07-19 22:57:16,0.96,153.35,1.11,1536.00,1474.00
2024-07-19 22:57:16,0.96,153.37,1.11,1533.00,1472.00
2024-07-19 22:57:16,0.96,153.38,1.11,1533.60,1472.00
2024-07-19 22:57:16,0.96,153.37,1.11,1535.40,1474.00
2024-07-19 22:57:16,0.96,153.41,1.12,1533.60,1472.00
2024-07-19 22:57:17,0.96,153.34,1.11,1534.00,1482.00
2024-07-19 22:57:17,0.96,153.36,1.12,1535.80,1474.00
2024-07-19 22:57:17,0.96,153.33,1.12,1536.80,1482.00
2024-07-19 22:57:17,0.96,153.52,1.12,1535.70,1474.00
2024-07-19 22:57:17,0.96,153.35,1.11,1536.50,1482.00
